,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
17,63FvgWtjAw9nUa8f5JXrh3,Dholida,57,audio_features,False,False,179034,1,2,6HWLgNliaSzF438T7Hk755,Jahnvi Shrimankar,5eWpthiGD66CLD4bQjvIBp,Sanjay Leela Bhansali,1ewtD7ykSg3j31ARf0VN0b,Gangubai Kathiawadi,2022-02-18,6,album,[],['modern bollywood'],0.638,0.902,1,-4.936,0,0.0712,0.68,0.0,0.255,0.759,110.222,spotify:track:63FvgWtjAw9nUa8f5JXrh3,https://api.spotify.com/v1/tracks/63FvgWtjAw9nUa8f5JXrh3,https://api.spotify.com/v1/audio-analysis/63FvgWtjAw9nUa8f5JXrh3,3
18,3INsYP1Y8GG4qJvBsKCdXC,Don't Stop Me Now - ...Revisited,69,audio_features,False,False,217824,1,21,1dfeR4HaWDbWqFHLkxsg1d,Queen,1dfeR4HaWDbWqFHLkxsg1d,Queen,6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,22,album,"['classic rock', 'glam rock', 'rock']","['classic rock', 'glam rock', 'rock']",0.465,0.917,5,-6.331,1,0.237,0.0152,0.02,0.286,0.39,155.061,spotify:track:3INsYP1Y8GG4qJvBsKCdXC,https://api.spotify.com/v1/tracks/3INsYP1Y8GG4qJvBsKCdXC,https://api.spotify.com/v1/audio-analysis/3INsYP1Y8GG4qJvBsKCdXC,4
19,3KeMulXbLDJBQdY5PZbGEh,Param Sundari,71,audio_features,False,False,200219,1,1,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,0DUOcMjmHGVLqFkWqfNC0z,Mimi (Original Motion Picture Soundtrack),2021-07-16,7,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.815,0.761,4,-7.162,0,0.144,0.192,0.0,0.0272,0.82,121.999,spotify:track:3KeMulXbLDJBQdY5PZbGEh,https://api.spotify.com/v1/tracks/3KeMulXbLDJBQdY5PZbGEh,https://api.spotify.com/v1/audio-analysis/3KeMulXbLDJBQdY5PZbGEh,4
20,0boz1twDCLAVifLgoxSKJb,Unn Perai Sollum,53,audio_features,False,False,368333,1,5,5VVN3xZw1i2qihfITZlvCZ,G. V. Prakash,6CtYzQvENTdGq5LPPsePdV,Vijay Antony,5bftjxPJF3ofaff49Pyhfr,Angadi Theru (Original Motion Picture Soundtrack),2010-03-26,6,album,"['filmi', 'tamil pop']","['filmi', 'kollywood', 'tamil pop']",0.467,0.662,4,-5.783,0,0.112,0.462,0.0,0.0994,0.45,93.743,spotify:track:0boz1twDCLAVifLgoxSKJb,https://api.spotify.com/v1/tracks/0boz1twDCLAVifLgoxSKJb,https://api.spotify.com/v1/audio-analysis/0boz1twDCLAVifLgoxSKJb,4
21,74AqVxZ3oXwJ8olHssBUG3,Ainvayi Ainvayi,57,audio_features,False,False,267624,1,1,6ohaQzKaXrobAL8paLSaxq,Salim–Sulaiman,6ohaQzKaXrobAL8paLSaxq,Salim–Sulaiman,7AYweNv9TK4bWe1zP2rcRU,Band Baaja Baaraat,2010-03-11,9,album,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']","['desi pop', 'filmi', 'indian folk', 'modern bollywood']",0.689,0.742,3,-7.571,0,0.0413,0.0339,0.0046,0.0928,0.876,155.986,spotify:track:74AqVxZ3oXwJ8olHssBUG3,https://api.spotify.com/v1/tracks/74AqVxZ3oXwJ8olHssBUG3,https://api.spotify.com/v1/audio-analysis/74AqVxZ3oXwJ8olHssBUG3,4
22,12Ud5p81gFX8feLUGpewfV,Pashmina,56,audio_features,False,False,283111,1,2,7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,3ztDG95Y1zI3eaCTySv7DU,Fitoor,2018-05-15,7,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.46,0.384,0,-7.931,1,0.0313,0.706,0.000773,0.146,0.302,79.877,spotify:track:12Ud5p81gFX8feLUGpewfV,https://api.spotify.com/v1/tracks/12Ud5p81gFX8feLUGpewfV,https://api.spotify.com/v1/audio-analysis/12Ud5p81gFX8feLUGpewfV,4
23,18XlJEroUwFo0tLZxscgXE,Lost,76,audio_features,False,False,172598,1,2,04gDigrS5kc9YWfZHwBETP,Maroon 5,04gDigrS5kc9YWfZHwBETP,Maroon 5,2dnLi41uRXC7aNqDmcEc0P,JORDI (Deluxe),2021-06-11,14,album,['pop'],['pop'],0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,spotify:track:18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/tracks/18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/audio-analysis/18XlJEroUwFo0tLZxscgXE,4
24,2TxCwUlqaOH3TIyJqGgR91,Mamma Mia,78,audio_features,False,False,213267,1,1,0LcJLqbBmaGUft1e9Mm8HV,ABBA,0LcJLqbBmaGUft1e9Mm8HV,ABBA,1kM6xcSYO5ASJaWgygznL7,Abba,1975,13,album,"['europop', 'swedish pop']","['europop', 'swedish pop']",0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,spotify:track:2TxCwUlqaOH3TIyJqGgR91,https://api.spotify.com/v1/tracks/2TxCwUlqaOH3TIyJqGgR91,https://api.spotify.com/v1/audio-analysis/2TxCwUlqaOH3TIyJqGgR91,4
25,364dI1bYnvamSnBJ8JcNzN,Intentions,74,audio_features,False,False,212869,1,1,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,55zg331p7m1EFA4uRggkwt,Intentions,2020-02-07,1,album,"['canadian pop', 'pop']","['canadian pop', 'pop']",0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,spotify:track:364dI1bYnvamSnBJ8JcNzN,https://api.spotify.com/v1/tracks/364dI1bYnvamSnBJ8JcNzN,https://api.spotify.com/v1/audio-analysis/364dI1bYnvamSnBJ8JcNzN,4
26,3YKDgkyRDO89kzjAkof45L,Shikayat,54,audio_features,False,False,249748,1,4,0sHAWQhZ5GxE0QO0peVXw3,Archana Gore,5eWpthiGD66CLD4bQjvIBp,Sanjay Leela Bhansali,1ewtD7ykSg3j31ARf0VN0b,Gangubai Kathiawadi,2022-02-18,6,album,[],['modern bollywood'],0.462,0.642,11,-5.697,0,0.0522,0.765,0.0,0.136,0.626,83.216,spotify:track:3YKDgkyRDO89kzjAkof45L,https://api.spotify.com/v1/tracks/3YKDgkyRDO89kzjAkof45L,https://api.spotify.com/v1/audio-analysis/3YKDgkyRDO89kzjAkof45L,4
