,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,playlist_id,playlist_name,playlist_tracks,added_at,added_by,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
202,1vf3D4WUhntoMzofsKlgXt,Aararum - Male Version,46,audio_features,False,False,276140,1,3,2HujlDCi1ggnUSdfgipUxE,P. Jayachandran,5TB837uKG65w8Jnz5D0bS5,Vidyasagar,3k1BRO6AZutQWReAErUfUY,Chandrolsavam (Original Motion Picture Soundtrack),2005-07-02,7,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'mollywood']","['filmi', 'kollywood', 'tamil pop']",0.682,0.572,0,-7.895,1,0.041,0.116,0.00141,0.183,0.579,93.04,spotify:track:1vf3D4WUhntoMzofsKlgXt,https://api.spotify.com/v1/tracks/1vf3D4WUhntoMzofsKlgXt,https://api.spotify.com/v1/audio-analysis/1vf3D4WUhntoMzofsKlgXt,4
203,0HEMY6YuPzCOprfkEluKDa,Katte Nee,42,audio_features,False,False,212507,1,1,2IUtwMti1OiT3lkW6RubgH,K. S. Chithra,5L0RbvV13JHcxpbO7LxVAp,M. G. Radhakrishnan,5z8mPh9dXdGdGrwsJcQltp,Kaattu Vannu Vilichappol (Original Motion Picture Soundtrack),2001-07-01,2,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}",['filmi'],"['filmi', 'mollywood']",0.648,0.558,2,-9.117,1,0.0382,0.461,0.0033,0.211,0.691,170.104,spotify:track:0HEMY6YuPzCOprfkEluKDa,https://api.spotify.com/v1/tracks/0HEMY6YuPzCOprfkEluKDa,https://api.spotify.com/v1/audio-analysis/0HEMY6YuPzCOprfkEluKDa,4
204,3kMX9p7tCiDE0WeAIp3xNk,Oru Vakkum Mindathe,38,audio_features,False,False,312480,1,2,2uocTdMBXjTsS7QmAj7src,Vineeth Sreenivasan,5wq0asvXF4jyJs8ydPPFzR,Ouseppachan,14xHI4Ii15UnxIF7T04qT0,July 4 (Original Motion Picture Soundtrack),2007-07-02,7,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'mollywood']",['mollywood'],0.8,0.465,2,-9.386,1,0.0293,0.558,9.21e-06,0.0948,0.583,119.978,spotify:track:3kMX9p7tCiDE0WeAIp3xNk,https://api.spotify.com/v1/tracks/3kMX9p7tCiDE0WeAIp3xNk,https://api.spotify.com/v1/audio-analysis/3kMX9p7tCiDE0WeAIp3xNk,1
205,6y7PQStzLzEjZClLeOb8sQ,Kaattadi,48,audio_features,False,False,244133,1,4,7LnwWFXxll1g0R4MTJCUEH,Vidhu Prathap,2ONjhPuh94wvN3GbaorWec,Alex Paul,3I2dZniwIXXeVtKB1jIyMR,Classmates (Original Motion Picture Soundtrack),2006-07-16,7,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'mollywood']",[],0.657,0.735,2,-10.165,1,0.092,0.227,9.59e-06,0.651,0.721,149.978,spotify:track:6y7PQStzLzEjZClLeOb8sQ,https://api.spotify.com/v1/tracks/6y7PQStzLzEjZClLeOb8sQ,https://api.spotify.com/v1/audio-analysis/6y7PQStzLzEjZClLeOb8sQ,3
206,2d5PEHeldXmsja4aKgZ70n,"Aaro Padum - From ""Katha Thudarunnu""",16,audio_features,False,False,362000,1,5,2NoJ7NuNs9nyj8Thoh1kbu,Hariharan,2NoJ7NuNs9nyj8Thoh1kbu,Hariharan,6XedtYI5d2ERH71dcbHIFx,Hits of Hariharan,2018-09-24,7,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'ghazal', 'tamil pop']","['filmi', 'ghazal', 'tamil pop']",0.606,0.484,1,-10.252,1,0.0314,0.817,0.228,0.0905,0.396,155.965,spotify:track:2d5PEHeldXmsja4aKgZ70n,https://api.spotify.com/v1/tracks/2d5PEHeldXmsja4aKgZ70n,https://api.spotify.com/v1/audio-analysis/2d5PEHeldXmsja4aKgZ70n,4
207,0SLYQqw110CllnuYFCfAH6,Njattu Velakkiliye - Female Version,39,audio_features,False,False,232467,1,1,5L0RbvV13JHcxpbO7LxVAp,M. G. Radhakrishnan,5L0RbvV13JHcxpbO7LxVAp,M. G. Radhakrishnan,3qjvorxtHHiDxjTlT8tv2Y,Mithunam (Original Motion Picture Soundtrack),1993-03-12,4,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'mollywood']","['filmi', 'mollywood']",0.743,0.486,7,-12.264,1,0.0399,0.879,0.000119,0.0919,0.692,130.049,spotify:track:0SLYQqw110CllnuYFCfAH6,https://api.spotify.com/v1/tracks/0SLYQqw110CllnuYFCfAH6,https://api.spotify.com/v1/audio-analysis/0SLYQqw110CllnuYFCfAH6,4
208,1i3eBPhiljmli4Hyr2YFxG,Mounangal,3,audio_features,False,False,202165,1,2,0aUQnP4HhUQXcurZl9GJIA,Vijay Yesudas,0aUQnP4HhUQXcurZl9GJIA,Vijay Yesudas,7aFFSv0Xyio13iS45hfcOe,Hits of Vijay Yesudas,2016-05-24,9,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'tamil pop']","['filmi', 'tamil pop']",0.561,0.358,2,-8.185,1,0.0553,0.876,4.1e-05,0.133,0.374,89.938,spotify:track:1i3eBPhiljmli4Hyr2YFxG,https://api.spotify.com/v1/tracks/1i3eBPhiljmli4Hyr2YFxG,https://api.spotify.com/v1/audio-analysis/1i3eBPhiljmli4Hyr2YFxG,1
209,0aMYSkdKHGqozMWN3QDLc1,Anuragalola,13,audio_features,False,False,239151,1,2,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,3FEiHvOkER7HfrlUwfkg3T,Yesudas Hit,2015-07-09,18,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'mollywood']","['filmi', 'mollywood']",0.453,0.393,7,-9.119,0,0.0315,0.903,0.0018,0.0989,0.511,76.6,spotify:track:0aMYSkdKHGqozMWN3QDLc1,https://api.spotify.com/v1/tracks/0aMYSkdKHGqozMWN3QDLc1,https://api.spotify.com/v1/audio-analysis/0aMYSkdKHGqozMWN3QDLc1,3
210,5essisfFwQuACNplLStPXu,"Arikilillenkilum (From ""Novel"")",15,audio_features,False,False,308013,1,7,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,4Fo9yj1z6SzJgtIcpAq9pr,K. J. Yesudas Romantic Hits,2019-09-25,10,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'mollywood']","['filmi', 'mollywood']",0.678,0.61,4,-8.6,1,0.0445,0.446,0.00168,0.0916,0.623,134.985,spotify:track:5essisfFwQuACNplLStPXu,https://api.spotify.com/v1/tracks/5essisfFwQuACNplLStPXu,https://api.spotify.com/v1/audio-analysis/5essisfFwQuACNplLStPXu,3
211,6XHRCtC8McYVb5SZUb1IVa,Tu Badi Masha,28,audio_features,False,False,286488,1,5,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,55M1xe07ScGfSbSBcjYJeR,Raveendran,39uzQjeBOUCsJh73ypPImk,His Highness Abdulla (Original Motion Picture Soundtrack),1990-04-29,5,album,39dAWPcb05dLSNiiCByrzB,good boi playlist,302,2022-01-01T18:03:26Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/0asmie1mylcg4pr7avv8v9tf2'}, 'href': 'https://api.spotify.com/v1/users/0asmie1mylcg4pr7avv8v9tf2', 'id': '0asmie1mylcg4pr7avv8v9tf2', 'type': 'user', 'uri': 'spotify:user:0asmie1mylcg4pr7avv8v9tf2'}","['filmi', 'mollywood']",['mollywood'],0.488,0.64,7,-7.39,1,0.13,0.858,7.61e-05,0.395,0.658,145.115,spotify:track:6XHRCtC8McYVb5SZUb1IVa,https://api.spotify.com/v1/tracks/6XHRCtC8McYVb5SZUb1IVa,https://api.spotify.com/v1/audio-analysis/6XHRCtC8McYVb5SZUb1IVa,3
